TT;buffer_h;rope_cap;n_tf_orden;lead_time;lead_time_sd;OTD;avg_wip;cb_util;cb_starv;buf_wait;replica
500;4.0;4;6;16,40183296;9,154331952;52,88888889;12,47695671;77,46625911;22,53374089;1,906960176;13
500;4.0;4;6;23,98455197;20,48995846;55,66666667;19,25759366;79,66335959;20,33664041;1,796441233;14
500;4.0;4;6;14,855916;10,58608921;68,33333333;11,61241715;78,63193927;21,36806073;1,788332597;15
500;4.0;4;6;31,23487949;16,89597821;27,88888889;27,13385219;92,16790891;7,83209109;2,107610422;16
500;4.0;4;6;21,12350654;13,42233761;43,11111111;17,96398075;86,80661849;13,19338151;1,971577658;17
500;4.0;4;6;24,68761186;14,87368033;33,66666667;19,33446673;82,35046119;17,64953881;2,005185676;18
500;4.0;4;6;17,42192204;12,86536521;59,88888889;13,6752575;75,47783666;24,52216334;1,688774843;19
500;4.0;4;6;26,10629562;20,13893064;42;21,30305391;84,6865303;15,3134697;2,063730855;20
500;4.0;4;6;24,39765115;18,03046832;44,44444444;20,94306055;87,76234934;12,23765066;1,919618169;21
500;4.0;4;6;15,10203945;14,37420145;71,11111111;11,10500716;71,87665884;28,12334116;1,662906726;22
500;4.0;4;6;16,50814642;10,09134962;60,11111111;12,23279493;76,94527682;23,05472318;1,94450676;23
500;4.0;4;6;33,75484342;33,86117824;51,22222222;25,70249245;79,97765845;20,02234155;2,035991193;24
500;4.0;4;6;12,61088926;8,705859889;74,77777778;9,271337727;73,73244972;26,26755028;1,705423349;25
500;4.0;4;6;21,80812761;16,12019839;52,11111111;16,70371913;77,65727487;22,34272513;1,9569492;26
500;4.0;4;6;22,27243013;19,23343318;55,22222222;17,22395243;83,36426169;16,63573831;2,157795631;27
500;4.0;4;6;20,61388854;14,15018753;50,88888889;18,0422494;87,95166789;12,04833211;1,917769144;28
500;4.0;4;6;17,6515351;13,17734039;60,88888889;14,54555742;84,26841354;15,73158646;1,995300813;29
500;2.0;2;6;55,67257099;35,64068566;17;40,81691515;78,53293191;21,46706809;0,623937136;0
500;2.0;2;6;87,2333024;45,48719692;4,222222222;67,03201932;82,1332078;17,8667922;0,628778517;1
500;2.0;2;6;99,20147427;45,59518388;8,888888889;80,67238915;80,33911735;19,66088265;0,558034107;2
